T02,"Population, density and surface area",,,,,
678,Sao Tome and Principe,2017,Population aged 60+ years old (percentage),4.6593,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
678,Sao Tome and Principe,2017,Population density,215.7177,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
678,Sao Tome and Principe,2017,Surface area (thousand km2),0.9640,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
678,Sao Tome and Principe,2019,Population mid-year estimates (millions),0.2151,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
678,Sao Tome and Principe,2019,Population mid-year estimates for males (millions),0.1076,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
678,Sao Tome and Principe,2019,Population mid-year estimates for females (millions),0.1074,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
678,Sao Tome and Principe,2019,Sex ratio (males per 100 females),100.1620,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
678,Sao Tome and Principe,2019,Population aged 0 to 14 years old (percentage),42.1467,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
678,Sao Tome and Principe,2019,Population aged 60+ years old (percentage),4.8838,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
678,Sao Tome and Principe,2019,Population density,224.0167,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
682,Saudi Arabia,2005,Population mid-year estimates (millions),23.8162,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
682,Saudi Arabia,2005,Population mid-year estimates for males (millions),13.2609,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
682,Saudi Arabia,2005,Population mid-year estimates for females (millions),10.5553,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
682,Saudi Arabia,2005,Sex ratio (males per 100 females),125.6334,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
682,Saudi Arabia,2005,Population aged 0 to 14 years old (percentage),33.8739,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
682,Saudi Arabia,2005,Population aged 60+ years old (percentage),4.4469,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
682,Saudi Arabia,2005,Population density,11.0789,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
682,Saudi Arabia,2010,Population mid-year estimates (millions),27.4215,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
682,Saudi Arabia,2010,Population mid-year estimates for males (millions),15.4275,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
682,Saudi Arabia,2010,Population mid-year estimates for females (millions),11.9940,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
682,Saudi Arabia,2010,Sex ratio (males per 100 females),128.6270,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
682,Saudi Arabia,2010,Population aged 0 to 14 years old (percentage),29.7035,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
682,Saudi Arabia,2010,Population aged 60+ years old (percentage),4.4554,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
682,Saudi Arabia,2010,Population density,12.7560,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
682,Saudi Arabia,2017,Population mid-year estimates (millions),33.1012,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
682,Saudi Arabia,2017,Population mid-year estimates for males (millions),18.9751,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
